"","method","trt","cc","kendall_len","pval_len","kendall_weigh","pval_weigh","signif_len","signif_weigh"
"1","lea","TempControl-21psu","full",0.0876516186431309,0.240476099113275,0.159335357951246,0.0329024678159926,FALSE,TRUE
"NA","lea","TempControl-7psu","full",-0.215949310438316,0.0450598664048349,-0.162220295401031,0.132203637961309,TRUE,FALSE
"3","lea","TempWarm-16psu","full",-0.0756240901650729,0.435657873855662,-0.120760238903936,0.213337112791744,FALSE,FALSE
"4","lea","TempWarm-5psu","full",-0.182574185835055,0.717981666733777,-0.182574185835055,0.717981666733777,FALSE,FALSE
"11","rda","TempControl-21psu","full",0.0449690913038672,0.547034884673382,0.100378734275506,0.178972004669465,FALSE,FALSE
"NA1","rda","TempControl-7psu","full",-0.251079820270386,0.0197997977596046,-0.143621790195818,0.182575412847671,TRUE,FALSE
"31","rda","TempWarm-16psu","full",0.0742364921803927,0.444126938306762,0.131864628688206,0.17418686277661,FALSE,FALSE
"41","rda","TempWarm-5psu","full",-0.182574185835055,0.717981666733777,-0.182574185835055,0.717981666733777,FALSE,FALSE
"12","gf","TempControl-21psu","full",0.0927328718978052,0.21429417864896,0.149170422834739,0.0458058996245485,FALSE,TRUE
"NA2","gf","TempControl-7psu","full",-0.182885301184602,0.0896497714440765,-0.14155528961746,0.188950823490966,FALSE,FALSE
"32","gf","TempWarm-16psu","full",-0.099213255904637,0.306446043104682,-0.0694024361516873,0.474487772784278,FALSE,FALSE
"42","gf","TempWarm-5psu","full",-0.547722557505166,0.278598671837963,0.182574185835055,0.717981666733777,FALSE,FALSE
"13","lea","TempControl-21psu","mll",0.0876516186431309,0.240476099113275,0.180681721695911,0.0155603079451706,FALSE,TRUE
"NA3","lea","TempControl-7psu","mll",-0.166353296557746,0.122630851630339,-0.137422288460746,0.202191298895377,FALSE,FALSE
"33","lea","TempWarm-16psu","mll",-0.129740411567602,0.181096324235314,-0.127700482519105,0.188187086239844,FALSE,FALSE
"43","lea","TempWarm-5psu","mll",-0.182574185835055,0.717981666733777,-0.182574185835055,0.717981666733777,FALSE,FALSE
"14","rda","TempControl-21psu","mll",0.0449690913038672,0.547034884673382,0.100378734275506,0.178972004669465,FALSE,FALSE
"NA4","rda","TempControl-7psu","mll",-0.218015811016673,0.0430449969131226,-0.122956784412247,0.253833436687118,TRUE,FALSE
"34","rda","TempWarm-16psu","mll",0.0895000700118753,0.356224807823448,0.154073408256746,0.112346111730745,FALSE,FALSE
"44","rda","TempWarm-5psu","mll",-0.182574185835055,0.717981666733777,-0.182574185835055,0.717981666733777,FALSE,FALSE
"15","gf","TempControl-21psu","mll",0.0927328718978052,0.21429417864896,0.149170422834739,0.0458058996245485,FALSE,TRUE
"NA5","gf","TempControl-7psu","mll",-0.182885301184602,0.0896497714440765,-0.14155528961746,0.188950823490966,FALSE,FALSE
"35","gf","TempWarm-16psu","mll",-0.0728488941957125,0.452689210458406,-0.0624621925365186,0.519785138259094,FALSE,FALSE
"45","gf","TempWarm-5psu","mll",-0.182574185835055,0.717981666733777,-0.182574185835055,0.717981666733777,FALSE,FALSE
